100,30,120778,134605
90,30,107463,120568
80,30,95781,107339
70,30,82781,93335
60,30,72860,80920
50,30,58846,66671
40,30,47915,53797
30,30,36584,40678
20,30,22842,26448
10,30,11996,13524
100,40,105857,127547
90,40,97196,115997
80,40,86393,102976
70,40,75027,89965
60,40,65017,77437
50,40,53106,63989
40,40,43854,51878
30,40,32388,38707
20,40,22505,26266
10,40,11001,13109
100,50,98301,124419
90,50,88556,111865
80,50,75527,98148
70,50,69421,87478
60,50,58052,74276
50,50,47451,61465
40,50,40446,50348
30,50,28184,36661
20,50,20110,25214
10,50,9812,12524
100,60,89408,120291
90,60,81336,108830
80,60,73519,96813
70,60,64812,85273
60,60,54203,72405
50,60,44619,60305
40,60,35678,48210
30,60,26132,35836
20,60,18020,24233
10,60,8578,11905
64,20,83811,97878
64,28,79413,98351
64,35,72813,97953
64,40,67564,98096
64,46,67114,98197
64,50,62985,98138
64,58,58378,98400
64,60,57084,98091
64,65,54914,98041
